Scenario,DEPSO_Avg,PG_Final_Avg,SOP_Avg,Gap_DEPSO_SOP_%,Gap_PG_SOP_%,Gap_PG_vs_DEPSO_%,PG_Wins,DEPSO_Wins,Draws,RT_DEPSO_Avg,RT_PG_Avg
50_2_6,607.15,607.88,4754.1,-87.23,-87.21,0.12,13,16,11,2.77,5.06
50_2_10,666.05,658.08,4754.0,-85.99,-86.16,-1.2,23,14,3,3.03,6.01
50_6_2,924.75,928.25,7499.93,-87.67,-87.62,0.38,13,25,2,15.52,21.71
50_6_6,1250.55,1250.33,7445.55,-83.2,-83.21,-0.02,21,18,1,12.3,14.07
50_6_10,1507.65,1513.22,7390.35,-79.6,-79.52,0.37,18,21,1,7.56,8.02
50_10_2,1308.75,1312.5,9424.98,-86.11,-86.07,0.29,20,20,0,42.08,44.02
50_10_6,2011.05,2009.58,9518.45,-78.87,-78.89,-0.07,19,21,0,16.32,17.46
50_10_10,2538.6,2540.12,9614.33,-73.6,-73.58,0.06,18,22,0,8.22,8.97
100_2_2,787.42,790.27,9529.3,-91.74,-91.71,0.36,14,20,6,15.46,25.22
100_2_6,958.45,961.6,9591.35,-90.01,-89.97,0.33,17,23,0,23.84,35.65
100_2_10,1133.17,1136.22,9508.6,-88.08,-88.05,0.27,18,21,1,14.41,23.1
100_6_2,1521.8,1524.35,15092.4,-89.92,-89.9,0.17,21,17,2,146.33,171.16
100_6_6,2312.82,2317.1,14942.42,-84.52,-84.49,0.18,19,21,0,54.25,61.58
100_6_10,2883.7,2901.1,14825.23,-80.55,-80.43,0.6,18,22,0,30.29,34.1
100_10_2,2437.5,2414.8,19150.78,-87.27,-87.39,-0.93,23,17,0,219.26,248.76
100_10_6,3852.72,3867.75,19204.03,-79.94,-79.86,0.39,20,20,0,67.51,70.67
100_10_10,4959.9,4980.05,19236.38,-74.22,-74.11,0.41,17,23,0,33.86,35.03
150_2_2,941.62,948.12,14340.85,-93.43,-93.39,0.69,15,23,2,75.35,93.45
150_2_6,1313.72,1300.9,14329.3,-90.83,-90.92,-0.98,24,16,0,41.12,69.27
150_2_10,1584.28,1587.85,14351.73,-88.96,-88.94,0.23,18,22,0,27.77,44.05
150_6_2,2197.6,2202.22,22411.9,-90.19,-90.17,0.21,18,22,0,281.72,305.54
150_6_6,3375.88,3384.12,22477.55,-84.98,-84.94,0.24,21,18,1,91.72,106.3
150_6_10,4243.18,4270.38,22341.62,-81.01,-80.89,0.64,18,22,0,54.02,52.39
150_10_2,3553.05,3556.5,28855.0,-87.69,-87.67,0.1,15,24,1,398.13,426.03
150_10_6,5678.9,5675.8,28814.4,-80.29,-80.3,-0.05,21,19,0,109.13,124.46
150_10_10,7304.8,7347.57,28736.97,-74.58,-74.43,0.59,13,27,0,67.11,61.38
200_2_2,1163.75,1162.72,19126.1,-93.92,-93.92,-0.09,24,16,0,124.14,191.65
200_2_6,1644.03,1631.15,19147.3,-91.41,-91.48,-0.78,25,15,0,58.15,89.26
200_2_10,2024.83,2021.08,19075.38,-89.39,-89.4,-0.19,25,15,0,34.54,57.11
200_6_2,2815.43,2820.75,29832.42,-90.56,-90.54,0.19,20,20,0,411.11,456.54
200_6_6,4433.2,4452.7,29947.6,-85.2,-85.13,0.44,17,23,0,121.49,128.43
200_6_10,5588.27,5609.38,29703.6,-81.19,-81.12,0.38,18,22,0,73.28,71.6
200_10_2,4672.85,4718.75,38495.82,-87.86,-87.74,0.98,13,27,0,525.05,539.62
200_10_6,7475.38,7560.1,38489.22,-80.58,-80.36,1.13,16,24,0,158.21,143.99
200_10_10,9617.5,9666.08,38236.5,-74.85,-74.72,0.51,11,29,0,96.59,82.69
